source_database,pmid,doi,year,title,abstract,journal,query,corpus,openalex_id,source_db,doi_clean,pmid_clean,title_clean,dedup_key
PubMed,23247526.0,10.1007/s11356-012-1377-z,2013.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species.,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental science and pollution research international,Alexandrium saxitoxin,dinoflagellate_stx,,,10.1007/s11356-012-1377-z,23247526.0,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,Alexandrium saxitoxin,dinoflagellate_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,Gymnodinium catenatum saxitoxin,dinoflagellate_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,Alexandrium sxtA,dinoflagellate_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,saxitoxin biosynthesis genes dinoflagellate,dinoflagellate_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,Alexandrium temperature saxitoxin,dinoflagellate_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,saxitoxin evolution dinoflagellates,dinoflagellate_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,Aphanizomenon saxitoxin,cyanobacteria_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,Cylindrospermopsis saxitoxin,cyanobacteria_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,cyanobacteria sxtA,cyanobacteria_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,saxitoxin biosynthesis cyanobacteria,cyanobacteria_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,temperature cyanobacteria saxitoxin,cyanobacteria_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
OpenAlex,,10.1007/s11356-012-1377-z,2012.0,The quantitative real-time PCR applications in the monitoring of marine harmful algal bloom (HAB) species,"In the last decade, various molecular methods (e.g., fluorescent hybridization assay, sandwich hybridization assay, automatized biosensor detection, real-time PCR assay) have been developed and implemented for accurate and specific identification and estimation of marine toxic microalgal species. This review focuses on the recent quantitative real-time PCR (qrt-PCR) technology developed for the control and monitoring of the most important taxonomic phytoplankton groups producing biotoxins with relevant negative impact on human health, the marine environment, and related economic activities. The high specificity and sensitivity of the qrt-PCR methods determined by the adequate choice of the genomic target gene, nucleic acid purification protocol, quantification through the standard curve, and type of chemical detection method make them highly efficient and therefore applicable to harmful algal bloom phenomena. Recent development of qrt-PCR-based assays using the target gene of toxins, such as saxitoxin compounds, has allowed more precise quantification of toxigenic species (i.e., Alexandrium catenella) abundance. These studies focus only on toxin-producing species in the marine environment. Therefore, qrt-PCR technology seems to offer the advantages of understanding the ecology of harmful algal bloom species and facilitating the management of their outbreaks.",Environmental Science and Pollution Research,saxitoxin evolution cyanobacteria,cyanobacteria_stx,https://openalex.org/W1994848574,,10.1007/s11356-012-1377-z,,the quantitative real time pcr applications in the monitoring of marine harmful algal bloom hab species,doi:10.1007/s11356-012-1377-z
PubMed,23292222.0,10.1007/s11356-012-1393-z,2013.0,"Evaluation of the MIDTAL microarray chip for monitoring toxic microalgae in the Orkney Islands, U.K.","Harmful or nuisance algal blooms can cause economic damage to fisheries and tourism. Additionally, toxins produced by harmful algae and ingested via contaminated shellfish can be potentially fatal to humans. The seas around the Orkney Islands, UK currently hold a number of toxic algal species which cause shellfishery closures in most years. Extensive and costly monitoring programs are carried out to detect harmful microalgae before they reach action levels. However, the ability to distinguish between toxic and non-toxic strains of some algae is not possible using these methods. The microarrays for the detection of toxic algae (MIDTAL) microarray contains rRNA probes for toxic algal species/strains which have been adapted and optimized for microarray use. In order to investigate the use of the chip for monitoring in the Orkney Islands, samples were collected between 2009 and 2011 from Brings Deep, Scapa Flow, Orkney Islands, UK; RNA was extracted and hybridized with generation 2 and 3.1 of the chip. The data were then compared to cell counts performed under light microscopy and in the case of Alexandrium tamarense to qPCR data targeting the saxitoxin gene and the LSU-rRNA gene. A good agreement between cell numbers and microarray signal was found for A. tamarense, Pseudo-nitzschia sp., Dinophysis sp. (r<0.5, for all) in addition to this there the chip successfully detected a large bloom of Karenia mikimotoi (r<0.70) in August and September 2011. Overall, there was good improvement in probe signal between generation 2 and generation 3.1 of the chip with much less variability and more consistent results and better correlation between the probes. The chip performed well for A. tamarense group I signal to cell numbers in calibrations (r>0.9). However, in field samples, this correlation was slightly lower suggesting interactions between all species in the sample may affect signal. Overall, the chip showed it could identify the presence of target species in field samples although some work is needed to improve the quantitative nature of the chip before it would be suitable for monitoring in the Orkney Islands.",Environmental science and pollution research international,Alexandrium saxitoxin,dinoflagellate_stx,,,10.1007/s11356-012-1393-z,23292222.0,evaluation of the midtal microarray chip for monitoring toxic microalgae in the orkney islands u k,doi:10.1007/s11356-012-1393-z
OpenAlex,,10.1007/s11356-014-2699-9,2014.0,Survey of cyanobacterial toxins in Czech water reservoirs—the first observation of neurotoxic saxitoxins,,Environmental Science and Pollution Research,Aphanizomenon saxitoxin,cyanobacteria_stx,https://openalex.org/W2028427623,,10.1007/s11356-014-2699-9,,survey of cyanobacterial toxins in czech water reservoirs the first observation of neurotoxic saxitoxins,doi:10.1007/s11356-014-2699-9
OpenAlex,,10.1007/s11356-014-2699-9,2014.0,Survey of cyanobacterial toxins in Czech water reservoirs—the first observation of neurotoxic saxitoxins,,Environmental Science and Pollution Research,Dolichospermum saxitoxin,cyanobacteria_stx,https://openalex.org/W2028427623,,10.1007/s11356-014-2699-9,,survey of cyanobacterial toxins in czech water reservoirs the first observation of neurotoxic saxitoxins,doi:10.1007/s11356-014-2699-9
PubMed,32592062.0,10.1007/s11356-020-09737-6,2020.0,Can small-bodied Daphnia control Raphidiopsis raciborskii in eutrophic tropical lakes? A mesocosm experiment.,"Raphidiopsis raciborskii is being considered an expanding, invasive species all over the world. It is a potentially toxin producer cyanobacterium and form blooms specially in (sub)tropical lakes, causing concern to public health. Thus, controlling such phenomena are of vital importance. To test the hypothesis that a tropical clone of Daphnia laevis is able to reduce the biomass of R. raciborskii, we performed a mesocosm experiment simulating a bloom of this cyanobacterium in field conditions and exposing it to ecologically relevant densities of daphniids. In addition, we tested the hypothesis that omnivorous fish would be able to exert a top-down effect on Daphnia, decreasing the effectiveness of this control. We used treatments with (10 and 20 Daphnia L<sup>-1</sup>) or without Daphnia and fish (3 per mesocosm). Daphnia was able to significantly reduce the biomass of R. raciborskii only at the highest density tested. Fish had low effect on Daphnia biomass, but it is suggested that nutrient recycling by fish might have contributed to the higher R. raciborskii biomass in fish treatments. This is the first evidence of Daphnia control over saxitoxin-producing cyanobacteria in a tropical ecosystem.",Environmental science and pollution research international,Raphidiopsis saxitoxin,cyanobacteria_stx,,,10.1007/s11356-020-09737-6,32592062.0,can small bodied daphnia control raphidiopsis raciborskii in eutrophic tropical lakes a mesocosm experiment,doi:10.1007/s11356-020-09737-6
PubMed,32592062.0,10.1007/s11356-020-09737-6,2020.0,Can small-bodied Daphnia control Raphidiopsis raciborskii in eutrophic tropical lakes? A mesocosm experiment.,"Raphidiopsis raciborskii is being considered an expanding, invasive species all over the world. It is a potentially toxin producer cyanobacterium and form blooms specially in (sub)tropical lakes, causing concern to public health. Thus, controlling such phenomena are of vital importance. To test the hypothesis that a tropical clone of Daphnia laevis is able to reduce the biomass of R. raciborskii, we performed a mesocosm experiment simulating a bloom of this cyanobacterium in field conditions and exposing it to ecologically relevant densities of daphniids. In addition, we tested the hypothesis that omnivorous fish would be able to exert a top-down effect on Daphnia, decreasing the effectiveness of this control. We used treatments with (10 and 20 Daphnia L<sup>-1</sup>) or without Daphnia and fish (3 per mesocosm). Daphnia was able to significantly reduce the biomass of R. raciborskii only at the highest density tested. Fish had low effect on Daphnia biomass, but it is suggested that nutrient recycling by fish might have contributed to the higher R. raciborskii biomass in fish treatments. This is the first evidence of Daphnia control over saxitoxin-producing cyanobacteria in a tropical ecosystem.",Environmental science and pollution research international,Cylindrospermopsis saxitoxin,cyanobacteria_stx,,,10.1007/s11356-020-09737-6,32592062.0,can small bodied daphnia control raphidiopsis raciborskii in eutrophic tropical lakes a mesocosm experiment,doi:10.1007/s11356-020-09737-6
OpenAlex,,10.1007/s11356-020-10383-1,2020.0,Mediterranean alien harmful algal blooms: origins and impacts,"Harmful algal blooms (HABs) are mostly phytoplankton blooms, which have detrimental environmental and socioeconomic impacts. The Mediterranean Sea due to its enclosed nature is of special concern since it has an enormously rich native biodiversity. Though, it is also the world's most invaded marine ecosystem and is considered at very high risk of future invasions. The aim of this review study is to explore the origins, establishment, environmental, and socioeconomic impacts of HABs caused by nonnative algal species in the Mediterranean Sea. Based on this, it is also discussed whether HABs form an increasing threat in the basin, and what could possibly be done to prevent or to minimize their impacts. The increasing rate of their introduction and the harmful impacts that they have on the environment, economy, and human health makes it important to have accurate knowledge about HABs. Anthropogenic activities and climate change are considered the main contributors of alien invasions but also the main enablers of HAB events. Mediterranean HABs are adequately studied, but there are no studies purposefully concerning invasive microalgae species in the basin. In the present study, 20 species have been identified, and an attempt has been made to collect their introduction information, as well as known or suspected impacts. Future research should be focused on data mining, current legislation updates, and monitoring of Mediterranean coastlines.",Environmental Science and Pollution Research,Alexandrium salinity toxin profile,dinoflagellate_stx,https://openalex.org/W2988295575,,10.1007/s11356-020-10383-1,,mediterranean alien harmful algal blooms origins and impacts,doi:10.1007/s11356-020-10383-1
PubMed,33128150.0,10.1007/s11356-020-11367-x,2021.0,The combined effect of clethodim (herbicide) and nitrogen variation on allelopathic interactions between Microcystis aeruginosa and Raphidiopsis raciborskii.,"The large-scale use of herbicides deteriorates water quality and threatens aquatic biodiversity. Unfortunately, there are few studies on the ecological effects of herbicides on toxin-producing strains of cyanobacteria under changing nutrient conditions. The objective of the present study was to investigate the effects of the herbicide clethodim and nitrogen variation on the allelopathic interactions and toxin production of Microcystis aeruginosa BCCUSP232 and Raphidiopsis raciborskii (formerly known as Cylindrospermopsis raciborskii) ITEPA1. M. aeruginosa had increased cell density when exposed to the clethodim (H +) (23.55 mg/L), whereas the highest cell density of R. raciborskii was observed in the treatment with clethodim plus limited nitrogen. Also, the cell-free exudate of R. raciborskii significantly stimulated the growth of M. aeruginosa on day 3 of the experiment. The concentration of chlorophyll-a in M. aeruginosa cultures generally increased in all the treatments, while in R. raciborskii cultures, the opposite occurred. Total microcystins (MCs) content of M. aeruginosa in the mixed cultures was 68% higher in nitrogen-enriched conditions than the control. A similar increase in MC content occurred in M. aeruginosa unialgal culture treated with R. raciborskii exudate. Total saxitoxin concentration was 81% higher in mixed cultures of R. raciborskii simultaneously exposed to high nitrogen and clethodim. Similarly, unialgal cultures of R. raciborskii exposed to either high nitrogen or clethodim had higher saxitoxins concentrations than the control. The intracellular H<sub>2</sub>O<sub>2</sub> content of M. aeruginosa cultures decreased, whereas, in R. raciborskii cultures, it increased during exposure to high nitrogen and clethodim. Only R. raciborskii had a significant variation in peroxidase activity. The activities of glutathione S-transferase of both strains were higher in the presence of clethodim. These results revealed that nitrogen enrichment and the presence of clethodim might lead to the excessive proliferation of M. aeruginosa and R. raciborskii and increased production of cyanotoxins in aquatic environments.",Environmental science and pollution research international,Raphidiopsis saxitoxin,cyanobacteria_stx,,,10.1007/s11356-020-11367-x,33128150.0,the combined effect of clethodim herbicide and nitrogen variation on allelopathic interactions between microcystis aeruginosa and raphidiopsis raciborskii,doi:10.1007/s11356-020-11367-x
PubMed,33128150.0,10.1007/s11356-020-11367-x,2021.0,The combined effect of clethodim (herbicide) and nitrogen variation on allelopathic interactions between Microcystis aeruginosa and Raphidiopsis raciborskii.,"The large-scale use of herbicides deteriorates water quality and threatens aquatic biodiversity. Unfortunately, there are few studies on the ecological effects of herbicides on toxin-producing strains of cyanobacteria under changing nutrient conditions. The objective of the present study was to investigate the effects of the herbicide clethodim and nitrogen variation on the allelopathic interactions and toxin production of Microcystis aeruginosa BCCUSP232 and Raphidiopsis raciborskii (formerly known as Cylindrospermopsis raciborskii) ITEPA1. M. aeruginosa had increased cell density when exposed to the clethodim (H +) (23.55 mg/L), whereas the highest cell density of R. raciborskii was observed in the treatment with clethodim plus limited nitrogen. Also, the cell-free exudate of R. raciborskii significantly stimulated the growth of M. aeruginosa on day 3 of the experiment. The concentration of chlorophyll-a in M. aeruginosa cultures generally increased in all the treatments, while in R. raciborskii cultures, the opposite occurred. Total microcystins (MCs) content of M. aeruginosa in the mixed cultures was 68% higher in nitrogen-enriched conditions than the control. A similar increase in MC content occurred in M. aeruginosa unialgal culture treated with R. raciborskii exudate. Total saxitoxin concentration was 81% higher in mixed cultures of R. raciborskii simultaneously exposed to high nitrogen and clethodim. Similarly, unialgal cultures of R. raciborskii exposed to either high nitrogen or clethodim had higher saxitoxins concentrations than the control. The intracellular H<sub>2</sub>O<sub>2</sub> content of M. aeruginosa cultures decreased, whereas, in R. raciborskii cultures, it increased during exposure to high nitrogen and clethodim. Only R. raciborskii had a significant variation in peroxidase activity. The activities of glutathione S-transferase of both strains were higher in the presence of clethodim. These results revealed that nitrogen enrichment and the presence of clethodim might lead to the excessive proliferation of M. aeruginosa and R. raciborskii and increased production of cyanotoxins in aquatic environments.",Environmental science and pollution research international,Cylindrospermopsis saxitoxin,cyanobacteria_stx,,,10.1007/s11356-020-11367-x,33128150.0,the combined effect of clethodim herbicide and nitrogen variation on allelopathic interactions between microcystis aeruginosa and raphidiopsis raciborskii,doi:10.1007/s11356-020-11367-x
